DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTRONHCA,PARTLTRON192MILES,PARTLTRONCLASS34,PARTLTRONCLASS12,PARTLTOFFC1,PARTLTOFFTOT,PARTLTROFFHCA,PARTLTROFF192MILES,PARTLTROFFCLASS34,PARTLTROFFCLASS12,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLTRHCATOTAL,PARTLTR192MILESTOTAL,PARTLTRCLASS34TOTAL,PARTLTRCLASS12TOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGONCC1,PARTLGONCTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,OKLAHOMA,346.157,0,0,0,346.157,0,1.21,0,344.946,0,0,,,,,346.157,0,0,0,346.157,0,1.21,0,344.946,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,346.157,0,0,0,346.157
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TENNESSEE,296.897,29.46,2.51,0,328.867,3.118,38.414,0,287.335,0,0,,,,,296.897,29.46,2.51,0,328.867,3.118,38.414,0,287.335,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,296.897,29.46,2.51,0,328.867
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,TEXAS,137.062,0,0,0,137.062,0,0,0,137.062,0,0,,,,,137.062,0,0,0,137.062,0,0,0,137.062,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,137.062,0,0,0,137.062
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTERSTATE,WISCONSIN,1351.017,273.4,190.402,0,1814.819,135.937,159.337,4.924,1514.622,0,0,,,,,1351.017,273.4,190.402,0,1814.819,135.937,159.337,4.924,1514.622,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1351.017,273.4,190.402,0,1814.819
2/2/2026,2021,20221289,46981,405,ANR PIPELINE CO,Natural Gas,INTRASTATE,MICHIGAN,2.434,0.495,0,0,2.929,0,,0,2.93,0,0,,,,,2.434,0.495,0,0,2.929,0,,0,2.93,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2.434,0.495,0,0,2.929
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,NEW MEXICO,3,0,0,0,3,0,0,0,3,0,0,,,,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,3,0,0,0,3
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,TEXAS,15.2,0,0,0,15.2,0,0,0,15.2,0,0,,,,,15.2,0,0,0,15.2,0,0,0,15.2,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,15.2,0,0,0,15.2
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,WYOMING,239.81,2.47,0,0,242.28,0,0.7,0,241.58,0,0,,,,,239.81,2.47,0,0,242.28,0,0.7,0,241.58,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,239.81,2.47,0,0,242.28
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,COLORADO,3.71,0.25,0,0,3.96,0,0.76,0,3.2,0,0,,,,,3.71,0.25,0,0,3.96,0,0.76,0,3.2,111.05,99.02,0,210.07,0,0,0,0,,,0,0,0,111.05,99.02,0,210.07,3.71,111.3,99.02,0,214.03
2/2/2026,2021,20220931,40794,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,UTAH,2.13,0,0,0,2.13,0,0,0,2.13,0,0,,,,,2.13,0,0,0,2.13,0,0,0,2.13,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,2.13,0,0,0,2.13
